row_number,Year,Region,Country,Christians,Muslims,Unaffiliated,Hindus,Buddhists,Folk Religions,Other Religions,Jews,All Religions
495,2030,Sub-Saharan Africa,Angola,27500000,60000,1570000,         <10000,         <10000,1250000,         <10000,         <10000,30390000
496,2030,Latin America-Caribbean,Anguilla,10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,20000
497,2030,Latin America-Caribbean,Antigua and Barbuda,100000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,100000
498,2030,Latin America-Caribbean,Argentina,39880000,410000,5620000,         <10000,20000,320000,120000,190000,46570000
499,2030,Asia-Pacific,Armenia,3200000,20000,40000,         <10000,         <10000,         <10000,         <10000,         <10000,3270000
500,2030,Latin America-Caribbean,Aruba,100000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,110000
501,2030,Asia-Pacific,Australia,14890000,940000,8640000,490000,810000,210000,240000,130000,26340000
502,2030,Europe,Austria,6640000,610000,1330000,10000,30000,10000,10000,20000,8670000
503,2030,Asia-Pacific,Azerbaijan,250000,10400000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,10660000
504,2030,Latin America-Caribbean,Bahamas,390000,         <10000,10000,         <10000,         <10000,         <10000,         <10000,         <10000,400000
505,2030,Middle East-North Africa,Bahrain,220000,1120000,30000,170000,60000,         <10000,         <10000,         <10000,1610000
506,2030,Asia-Pacific,Bangladesh,580000,168050000,         <10000,14490000,1130000,130000,130000,         <10000,184500000
507,2030,Latin America-Caribbean,Barbados,270000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,280000
508,2030,Europe,Belarus,6450000,100000,2570000,         <10000,         <10000,         <10000,         <10000,         <10000,9130000
509,2030,Europe,Belgium,6320000,980000,3570000,20000,50000,40000,10000,30000,11010000
510,2030,Latin America-Caribbean,Belize,390000,         <10000,40000,         <10000,         <10000,         <10000,         <10000,         <10000,440000
511,2030,Sub-Saharan Africa,Benin,7410000,3720000,790000,         <10000,         <10000,2650000,         <10000,         <10000,14560000
512,2030,North America,Bermuda,50000,         <10000,10000,         <10000,         <10000,         <10000,         <10000,         <10000,70000
513,2030,Asia-Pacific,Bhutan,         <10000,         <10000,         <10000,200000,680000,20000,         <10000,         <10000,910000
514,2030,Latin America-Caribbean,Bolivia,12930000,         <10000,560000,         <10000,10000,110000,130000,         <10000,13740000
515,2030,Europe,Bosnia and Herz.,1640000,1560000,70000,         <10000,         <10000,         <10000,         <10000,         <10000,3270000
516,2030,Sub-Saharan Africa,Botswana,1910000,30000,360000,         <10000,         <10000,80000,10000,         <10000,2390000
517,2030,Latin America-Caribbean,Brazil,192800000,40000,19330000,         <10000,250000,7690000,310000,110000,220530000
518,2030,Latin America-Caribbean,British Virgin Islands,30000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,30000
519,2030,Asia-Pacific,Brunei,50000,360000,         <10000,         <10000,40000,30000,         <10000,         <10000,480000
520,2030,Europe,Bulgaria,5020000,920000,330000,         <10000,         <10000,         <10000,         <10000,         <10000,6270000
521,2030,Sub-Saharan Africa,Burkina Faso,6350000,19240000,170000,         <10000,         <10000,4660000,         <10000,         <10000,30430000
522,2030,Sub-Saharan Africa,Burundi,10450000,340000,         <10000,         <10000,         <10000,700000,         <10000,         <10000,11490000
523,2030,Asia-Pacific,Cambodia,70000,360000,30000,         <10000,17310000,100000,         <10000,         <10000,17890000
524,2030,Sub-Saharan Africa,Cameroon,19770000,5820000,1430000,         <10000,         <10000,910000,770000,         <10000,28710000
525,2030,North America,Canada,24730000,1400000,9760000,770000,460000,500000,560000,480000,38650000
526,2030,Sub-Saharan Africa,Cape Verde,570000,         <10000,60000,         <10000,         <10000,         <10000,         <10000,         <10000,640000
