row_number,Year,Region,Country,Christians,Muslims,Unaffiliated,Hindus,Buddhists,Folk Religions,Other Religions,Jews,All Religions
679,2030,Sub-Saharan Africa,Somalia,         <10000,15810000,         <10000,         <10000,         <10000,10000,         <10000,         <10000,15860000
680,2030,Sub-Saharan Africa,South Africa,45700000,1180000,8750000,510000,90000,310000,190000,50000,56780000
681,2030,Asia-Pacific,Korea,15750000,210000,23510000,30000,10480000,420000,110000,         <10000,50510000
682,2030,Europe,Spain,35630000,2280000,11710000,60000,40000,80000,20000,60000,49890000
683,2030,Asia-Pacific,Sri Lanka,1670000,2610000,         <10000,3250000,16000000,         <10000,         <10000,         <10000,23540000
684,2030,Middle East-North Africa,Sudan,2790000,47160000,540000,         <10000,         <10000,1470000,         <10000,         <10000,51980000
685,2030,Latin America-Caribbean,Suriname,330000,80000,40000,110000,         <10000,40000,10000,         <10000,630000
686,2030,Sub-Saharan Africa,Swaziland,1290000,         <10000,130000,         <10000,         <10000,10000,         <10000,         <10000,1450000
687,2030,Europe,Sweden,6080000,860000,3160000,40000,90000,30000,30000,10000,10290000
688,2030,Europe,Swaziland,5410000,500000,1980000,50000,60000,         <10000,20000,20000,8040000
689,2030,Middle East-North Africa,Syria,1450000,26200000,570000,         <10000,         <10000,         <10000,         <10000,         <10000,28230000
690,2030,Asia-Pacific,Taiwan,1380000,10000,3380000,         <10000,4800000,9920000,3410000,         <10000,22900000
691,2030,Asia-Pacific,Tajikistan,190000,9540000,150000,         <10000,         <10000,         <10000,         <10000,         <10000,9910000
692,2030,Sub-Saharan Africa,Tanzania,53280000,27270000,1510000,50000,         <10000,560000,20000,         <10000,82690000
693,2030,Asia-Pacific,Thailand,690000,4770000,210000,100000,66110000,60000,         <10000,         <10000,71950000
694,2030,Asia-Pacific,Timor-Leste,2020000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,2030000
695,2030,Sub-Saharan Africa,Togo,3420000,1190000,530000,         <10000,         <10000,3290000,50000,         <10000,8490000
696,2030,Asia-Pacific,Tokelau,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000
697,2030,Asia-Pacific,Tonga,150000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,150000
698,2030,Latin America-Caribbean,Trinidad and Tobago,900000,80000,20000,300000,         <10000,30000,20000,         <10000,1350000
699,2030,Middle East-North Africa,Tunisia,30000,12110000,30000,         <10000,         <10000,         <10000,         <10000,         <10000,12160000
700,2030,Asia-Pacific,Turkey,420000,84750000,1020000,         <10000,40000,30000,180000,30000,86470000
701,2030,Asia-Pacific,Turkmenistan,400000,5850000,30000,         <10000,         <10000,         <10000,         <10000,         <10000,6300000
702,2030,Latin America-Caribbean,Turks and Caicos Islands,40000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,40000
703,2030,Asia-Pacific,Tuvalu,10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,10000
704,2030,Sub-Saharan Africa,Uganda,51760000,7760000,310000,190000,         <10000,530000,70000,         <10000,60610000
705,2030,Europe,Ukraine,35330000,920000,4240000,40000,30000,20000,10000,30000,40620000
706,2030,Middle East-North Africa,United Arab Emirates,1210000,6940000,100000,790000,240000,10000,70000,         <10000,9360000
707,2030,Europe,United Kingdom,35890000,5060000,22630000,1140000,480000,130000,520000,250000,66110000
708,2030,North America,United States,258410000,5190000,75740000,3290000,4740000,1190000,3770000,5660000,357980000
709,2030,Latin America-Caribbean,U.S. Virgin Islands,110000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,120000
710,2030,Latin America-Caribbean,Uruguay,2020000,         <10000,1500000,         <10000,         <10000,30000,10000,         <10000,3560000
711,2030,Asia-Pacific,Uzbekistan,610000,32900000,240000,         <10000,10000,20000,         <10000,         <10000,33790000
712,2030,Asia-Pacific,Vanuatu,350000,         <10000,         <10000,         <10000,         <10000,10000,         <10000,         <10000,370000
713,2030,Latin America-Caribbean,Venezuela,32530000,110000,3470000,         <10000,         <10000,180000,30000,         <10000,36330000
714,2030,Asia-Pacific,Vietnam,8630000,190000,30490000,         <10000,16310000,45380000,420000,         <10000,101420000
715,2030,Asia-Pacific,Wallis and Futuna,10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,10000
716,2030,Middle East-North Africa,W. Sahara,         <10000,670000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,670000
717,2030,Middle East-North Africa,Yemen,60000,41130000,40000,260000,         <10000,         <10000,         <10000,         <10000,41500000
718,2030,Sub-Saharan Africa,Zambia,23760000,180000,150000,30000,         <10000,90000,250000,         <10000,24470000
719,2030,Sub-Saharan Africa,Zimbabwe,14200000,160000,1250000,         <10000,         <10000,720000,50000,10000,16390000
720,2030,Sub-Saharan Africa,S. Sudan,9250000,950000,70000,         <10000,         <10000,5030000,         <10000,         <10000,15300000
721,2030,Latin America-Caribbean,Curacao,170000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,180000
722,2030,Latin America-Caribbean,Sint Maarten,50000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,60000
723,2030,Latin America-Caribbean,Caribbean Netherlands,20000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,20000
731,2040,Asia-Pacific,Afghanistan,60000,61700000,10000,20000,10000,         <10000,50000,         <10000,61860000
732,2040,Europe,Albania,430000,2550000,20000,         <10000,         <10000,         <10000,         <10000,         <10000,3010000
733,2040,Middle East-North Africa,Algeria,70000,44620000,840000,         <10000,         <10000,10000,         <10000,         <10000,45560000
734,2040,Asia-Pacific,American Samoa,60000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,60000
735,2040,Europe,Andorra,80000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,90000
736,2040,Sub-Saharan Africa,Angola,32710000,70000,1870000,         <10000,         <10000,1480000,         <10000,         <10000,36130000
737,2040,Latin America-Caribbean,Anguilla,10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,20000
738,2040,Latin America-Caribbean,Antigua and Barbuda,100000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,110000
739,2040,Latin America-Caribbean,Argentina,41830000,390000,5760000,         <10000,20000,310000,110000,180000,48610000
740,2040,Asia-Pacific,Armenia,3190000,30000,40000,         <10000,         <10000,         <10000,         <10000,         <10000,3270000
741,2040,Latin America-Caribbean,Aruba,100000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,110000
742,2040,Asia-Pacific,Australia,14320000,1160000,10270000,570000,850000,230000,260000,140000,27800000
743,2040,Europe,Austria,6440000,690000,1400000,10000,40000,10000,10000,20000,8630000
744,2040,Asia-Pacific,Azerbaijan,230000,10820000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,11060000
745,2040,Latin America-Caribbean,Bahamas,400000,         <10000,10000,         <10000,         <10000,         <10000,         <10000,         <10000,410000
746,2040,Middle East-North Africa,Bahrain,220000,1200000,40000,180000,70000,         <10000,         <10000,         <10000,1730000
747,2040,Asia-Pacific,Bangladesh,620000,177860000,         <10000,14710000,1180000,130000,130000,         <10000,194650000
748,2040,Latin America-Caribbean,Barbados,260000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,280000
749,2040,Europe,Belarus,6250000,150000,2400000,         <10000,         <10000,         <10000,         <10000,         <10000,8810000
750,2040,Europe,Belgium,6090000,1140000,3690000,30000,50000,40000,20000,30000,11090000
751,2040,Latin America-Caribbean,Belize,430000,         <10000,50000,         <10000,         <10000,         <10000,         <10000,         <10000,500000
752,2040,Sub-Saharan Africa,Benin,8920000,4750000,1000000,         <10000,         <10000,3280000,         <10000,         <10000,17970000
753,2040,North America,Bermuda,50000,         <10000,10000,         <10000,         <10000,         <10000,         <10000,         <10000,70000
754,2040,Asia-Pacific,Bhutan,         <10000,         <10000,         <10000,220000,720000,20000,         <10000,         <10000,960000
755,2040,Latin America-Caribbean,Bolivia,14580000,         <10000,630000,         <10000,10000,120000,140000,         <10000,15490000
756,2040,Europe,Bosnia and Herz.,1460000,1440000,70000,         <10000,         <10000,         <10000,         <10000,         <10000,2960000
757,2040,Sub-Saharan Africa,Botswana,2080000,40000,330000,         <10000,         <10000,60000,10000,         <10000,2530000
758,2040,Latin America-Caribbean,Brazil,195020000,50000,20330000,         <10000,240000,8460000,300000,100000,224500000
759,2040,Latin America-Caribbean,British Virgin Islands,30000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,30000
760,2040,Asia-Pacific,Brunei,50000,380000,         <10000,         <10000,40000,30000,         <10000,         <10000,510000
761,2040,Europe,Bulgaria,4520000,850000,320000,         <10000,         <10000,         <10000,         <10000,         <10000,5700000
762,2040,Sub-Saharan Africa,Burkina Faso,7920000,25310000,240000,         <10000,         <10000,6070000,         <10000,         <10000,39540000
763,2040,Sub-Saharan Africa,Burundi,11540000,390000,         <10000,         <10000,         <10000,790000,         <10000,         <10000,12720000
764,2040,Asia-Pacific,Cambodia,70000,390000,40000,         <10000,18400000,110000,         <10000,         <10000,19020000
765,2040,Sub-Saharan Africa,Cameroon,22860000,7100000,1600000,         <10000,         <10000,1050000,900000,         <10000,33510000
766,2040,North America,Canada,24740000,1800000,10240000,910000,530000,530000,670000,520000,39960000
767,2040,Sub-Saharan Africa,Cape Verde,620000,         <10000,60000,         <10000,         <10000,         <10000,         <10000,         <10000,690000
768,2040,Latin America-Caribbean,Cayman Islands,60000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,70000
769,2040,Sub-Saharan Africa,Central African Rep.,6640000,730000,70000,         <10000,         <10000,70000,         <10000,         <10000,7520000
770,2040,Sub-Saharan Africa,Chad,9740000,12560000,470000,         <10000,         <10000,300000,30000,         <10000,23110000
771,2040,Europe,Channel Islands,120000,         <10000,20000,         <10000,         <10000,         <10000,         <10000,         <10000,140000
772,2040,Latin America-Caribbean,Chile,17400000,20000,2280000,         <10000,10000,270000,40000,30000,20060000
773,2040,Asia-Pacific,China,73040000,33260000,700100000,40000,252090000,299040000,9580000,         <10000,1367150000
774,2040,Latin America-Caribbean,Colombia,55120000,20000,4220000,         <10000,         <10000,510000,50000,         <10000,59930000
775,2040,Sub-Saharan Africa,Comoros,         <10000,1490000,         <10000,         <10000,         <10000,10000,         <10000,         <10000,1510000
776,2040,Sub-Saharan Africa,Congo,6800000,90000,600000,         <10000,         <10000,210000,80000,         <10000,7770000
777,2040,Sub-Saharan Africa,Dem. Rep. Congo,121850000,2090000,2150000,70000,         <10000,930000,160000,         <10000,127250000
778,2040,Asia-Pacific,Cook Islands,20000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,20000
779,2040,Latin America-Caribbean,Costa Rica,5530000,         <10000,500000,         <10000,         <10000,50000,20000,         <10000,6110000
780,2040,Sub-Saharan Africa,Côte d'Ivoire,14660000,12850000,3000000,         <10000,20000,3980000,60000,         <10000,34580000
781,2040,Europe,Croatia,3710000,70000,180000,         <10000,         <10000,         <10000,         <10000,         <10000,3960000
782,2040,Latin America-Caribbean,Cuba,6080000,         <10000,2440000,20000,         <10000,1890000,         <10000,         <10000,10450000
783,2040,Asia-Pacific,Cyprus,970000,340000,40000,         <10000,10000,         <10000,         <10000,         <10000,1380000
784,2040,Europe,Czech Rep.,1860000,70000,8000000,         <10000,50000,50000,         <10000,         <10000,10040000
785,2040,Europe,Denmark,4630000,430000,660000,40000,40000,         <10000,         <10000,         <10000,5800000
786,2040,Sub-Saharan Africa,Djibouti,30000,1360000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,1400000
787,2040,Latin America-Caribbean,Dominica,70000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,80000
788,2040,Latin America-Caribbean,Dominican Rep.,11650000,         <10000,1420000,         <10000,         <10000,120000,10000,         <10000,13210000
789,2040,Latin America-Caribbean,Ecuador,18140000,20000,1110000,         <10000,         <10000,60000,         <10000,         <10000,19340000
790,2040,Middle East-North Africa,Egypt,4670000,111960000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,116640000
791,2040,Latin America-Caribbean,El Salvador,6130000,         <10000,800000,         <10000,         <10000,30000,20000,         <10000,6980000
792,2040,Sub-Saharan Africa,Eq. Guinea,1060000,50000,60000,         <10000,         <10000,20000,         <10000,         <10000,1200000
793,2040,Sub-Saharan Africa,Eritrea,6140000,3570000,10000,         <10000,         <10000,40000,         <10000,         <10000,9760000
794,2040,Europe,Estonia,440000,         <10000,670000,         <10000,         <10000,         <10000,         <10000,         <10000,1110000
795,2040,Sub-Saharan Africa,Ethiopia,79420000,51570000,90000,         <10000,         <10000,2490000,10000,         <10000,133590000
796,2040,Europe,Faeroe Islands,50000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,50000
797,2040,Latin America-Caribbean,Falkland Is.,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000
798,2040,Asia-Pacific,Fiji,750000,70000,         <10000,320000,         <10000,         <10000,         <10000,         <10000,1160000
799,2040,Europe,Finland,4140000,140000,1260000,         <10000,20000,         <10000,         <10000,         <10000,5580000
800,2040,Europe,France,32780000,6750000,27690000,60000,380000,310000,130000,350000,68440000
801,2040,Latin America-Caribbean,French Guiana,330000,         <10000,20000,         <10000,         <10000,30000,         <10000,         <10000,390000
802,2040,Asia-Pacific,French Polynesia,310000,         <10000,20000,         <10000,         <10000,         <10000,         <10000,         <10000,330000
803,2040,Sub-Saharan Africa,Gabon,1920000,390000,160000,         <10000,         <10000,150000,20000,         <10000,2640000
804,2040,Sub-Saharan Africa,Gambia,140000,3780000,         <10000,         <10000,         <10000,20000,         <10000,         <10000,3950000
805,2040,Europe,Georgia,3220000,500000,30000,         <10000,         <10000,         <10000,         <10000,         <10000,3750000
806,2040,Europe,Germany,45670000,6640000,21290000,80000,250000,50000,100000,200000,74280000
807,2040,Sub-Saharan Africa,Ghana,30080000,8870000,1570000,20000,         <10000,2490000,50000,         <10000,43080000
808,2040,Europe,Gibraltar,30000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,30000
809,2040,Europe,Greece,9140000,760000,610000,30000,         <10000,10000,10000,         <10000,10570000
810,2040,North America,Greenland,50000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,50000
811,2040,Latin America-Caribbean,Grenada,140000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,140000
812,2040,Latin America-Caribbean,Guadeloupe,500000,         <10000,10000,         <10000,         <10000,         <10000,         <10000,         <10000,520000
813,2040,Asia-Pacific,Guam,220000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,240000
814,2040,Latin America-Caribbean,Guatemala,25160000,         <10000,960000,         <10000,         <10000,170000,20000,         <10000,26320000
815,2040,Sub-Saharan Africa,Guinea,1990000,16490000,350000,         <10000,20000,510000,         <10000,         <10000,19350000
816,2040,Sub-Saharan Africa,Guinea-Bissau,440000,1250000,120000,         <10000,         <10000,800000,         <10000,         <10000,2610000
817,2040,Latin America-Caribbean,Guyana,730000,60000,20000,200000,         <10000,         <10000,         <10000,         <10000,1020000
818,2040,Latin America-Caribbean,Haiti,12160000,         <10000,1550000,         <10000,         <10000,280000,40000,         <10000,14030000
819,2040,Europe,Vatican City,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000
820,2040,Latin America-Caribbean,Honduras,10120000,20000,1170000,         <10000,20000,140000,80000,         <10000,11550000
821,2040,Asia-Pacific,Hong Kong,1360000,220000,4040000,50000,1060000,1050000,110000,         <10000,7870000
822,2040,Europe,Hungary,6830000,30000,2040000,         <10000,         <10000,         <10000,         <10000,         <10000,8910000
823,2040,Europe,Iceland,360000,         <10000,20000,         <10000,         <10000,         <10000,         <10000,         <10000,390000
824,2040,Asia-Pacific,India,36710000,282120000,880000,1260620000,11100000,7640000,27690000,         <10000,1626760000
825,2040,Asia-Pacific,Indonesia,31730000,254310000,250000,4280000,1790000,720000,400000,         <10000,293480000
826,2040,Asia-Pacific,Iran,70000,86330000,80000,20000,         <10000,         <10000,130000,         <10000,86640000
827,2040,Middle East-North Africa,Iraq,430000,66430000,70000,         <10000,         <10000,         <10000,20000,         <10000,66960000
828,2040,Europe,Ireland,5250000,150000,670000,30000,20000,10000,         <10000,         <10000,6150000
829,2040,Europe,Isle of Man,80000,         <10000,10000,         <10000,         <10000,         <10000,         <10000,         <10000,100000
830,2040,Middle East-North Africa,Israel,210000,2510000,320000,         <10000,30000,30000,10000,7610000,10720000
831,2040,Europe,Italy,43740000,4450000,8950000,250000,210000,130000,60000,40000,57830000
832,2040,Latin America-Caribbean,Jamaica,2390000,         <10000,530000,         <10000,         <10000,140000,30000,         <10000,3100000
833,2040,Asia-Pacific,Japan,2430000,270000,74780000,60000,31100000,580000,4600000,         <10000,113830000
834,2040,Middle East-North Africa,Jordan,220000,10020000,20000,20000,50000,         <10000,         <10000,         <10000,10330000
835,2040,Asia-Pacific,Kazakhstan,4070000,15510000,660000,10000,90000,110000,50000,         <10000,20500000
836,2040,Sub-Saharan Africa,Kenya,67250000,10110000,1910000,90000,         <10000,1050000,770000,         <10000,81180000
837,2040,Asia-Pacific,Kiribati,140000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,140000
838,2040,Europe,Kosovo,100000,1880000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,1980000
839,2040,Middle East-North Africa,Kuwait,530000,3010000,         <10000,470000,310000,10000,         <10000,         <10000,4350000
840,2040,Asia-Pacific,Kyrgyzstan,600000,6980000,30000,         <10000,         <10000,         <10000,         <10000,         <10000,7630000
841,2040,Asia-Pacific,Lao PDR,130000,         <10000,80000,         <10000,5230000,3300000,70000,         <10000,8830000
842,2040,Europe,Latvia,990000,         <10000,850000,         <10000,         <10000,         <10000,         <10000,         <10000,1850000
843,2040,Middle East-North Africa,Lebanon,1870000,2990000,10000,         <10000,         <10000,         <10000,         <10000,         <10000,4880000
844,2040,Sub-Saharan Africa,Lesotho,2550000,         <10000,70000,         <10000,         <10000,         <10000,         <10000,         <10000,2630000
845,2040,Sub-Saharan Africa,Liberia,7020000,980000,110000,         <10000,         <10000,80000,         <10000,         <10000,8190000
846,2040,Middle East-North Africa,Libya,230000,8390000,20000,         <10000,30000,         <10000,         <10000,         <10000,8690000
847,2040,Europe,Liechtenstein,40000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,40000
848,2040,Europe,Lithuania,2450000,         <10000,250000,         <10000,         <10000,         <10000,         <10000,         <10000,2700000
849,2040,Europe,Luxembourg,370000,10000,140000,         <10000,         <10000,         <10000,         <10000,         <10000,530000
850,2040,Asia-Pacific,Macau,40000,         <10000,90000,         <10000,100000,340000,         <10000,         <10000,570000
851,2040,Europe,Republic of Macedonia,840000,930000,20000,         <10000,         <10000,         <10000,         <10000,         <10000,1790000
852,2040,Sub-Saharan Africa,Madagascar,36870000,1410000,3610000,30000,10000,2200000,40000,         <10000,44170000
853,2040,Sub-Saharan Africa,Malawi,31780000,4900000,570000,30000,         <10000,600000,30000,         <10000,37910000
854,2040,Asia-Pacific,Malaysia,3960000,29650000,210000,2230000,5140000,850000,40000,         <10000,42070000
855,2040,Asia-Pacific,Maldives,         <10000,390000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,400000
856,2040,Sub-Saharan Africa,Mali,800000,32400000,210000,         <10000,         <10000,1210000,         <10000,         <10000,34620000
857,2040,Europe,Malta,380000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,390000
858,2040,Asia-Pacific,Marshall Islands,60000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,60000
859,2040,Latin America-Caribbean,Martinique,410000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,420000
860,2040,Sub-Saharan Africa,Mauritania,20000,6270000,         <10000,         <10000,         <10000,30000,         <10000,         <10000,6330000
861,2040,Sub-Saharan Africa,Mauritius,430000,230000,10000,630000,         <10000,         <10000,         <10000,         <10000,1310000
862,2040,Sub-Saharan Africa,Mayotte,         <10000,410000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,420000
863,2040,Latin America-Caribbean,Mexico,129790000,10000,10650000,         <10000,10000,80000,20000,90000,140660000
864,2040,Asia-Pacific,Federated States of Micronesia,170000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,180000
865,2040,Europe,Moldova,2730000,30000,40000,         <10000,         <10000,         <10000,         <10000,         <10000,2810000
866,2040,Europe,Monaco,40000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,50000
867,2040,Asia-Pacific,Mongolia,90000,150000,1420000,         <10000,2040000,130000,         <10000,         <10000,3830000
868,2040,Europe,Montenegro,460000,150000,20000,         <10000,         <10000,         <10000,         <10000,         <10000,620000
869,2040,Latin America-Caribbean,Montserrat,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000
870,2040,Middle East-North Africa,Morocco,10000,39470000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,39490000
871,2040,Sub-Saharan Africa,Mozambique,25050000,6660000,7160000,30000,         <10000,3340000,         <10000,         <10000,42250000
872,2040,Asia-Pacific,Burma (Myanmar),4390000,2560000,270000,930000,44630000,3120000,100000,         <10000,56000000
873,2040,Sub-Saharan Africa,Namibia,3230000,         <10000,70000,         <10000,         <10000,         <10000,         <10000,         <10000,3320000
874,2040,Asia-Pacific,Nauru,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,10000
875,2040,Asia-Pacific,Nepal,210000,2700000,110000,35830000,4210000,1610000,40000,         <10000,44710000
876,2040,Europe,Netherlands,7240000,1470000,8270000,120000,70000,50000,40000,30000,17280000
877,2040,Asia-Pacific,New Caledonia,260000,         <10000,30000,         <10000,         <10000,         <10000,         <10000,         <10000,310000
878,2040,Asia-Pacific,New Zealand,2600000,130000,2430000,180000,120000,30000,50000,10000,5550000
879,2040,Latin America-Caribbean,Nicaragua,6700000,         <10000,1090000,         <10000,         <10000,110000,10000,         <10000,7930000
880,2040,Sub-Saharan Africa,Niger,440000,40820000,320000,         <10000,         <10000,50000,         <10000,         <10000,41650000
881,2040,Sub-Saharan Africa,Nigeria,134100000,182560000,1110000,         <10000,20000,5540000,150000,         <10000,323480000
882,2040,Asia-Pacific,Niue,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000
883,2040,Asia-Pacific,Dem. Rep. Korea,520000,         <10000,18850000,         <10000,400000,3260000,3410000,         <10000,26440000
884,2040,Asia-Pacific,Northern Mariana Islands,50000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,60000
885,2040,Europe,Norway,4330000,420000,780000,50000,70000,10000,10000,         <10000,5670000
886,2040,Middle East-North Africa,Oman,250000,3740000,20000,250000,20000,         <10000,30000,         <10000,4310000
887,2040,Asia-Pacific,Pakistan,4020000,254670000,30000,5220000,30000,40000,30000,         <10000,264050000
888,2040,Asia-Pacific,Palau,20000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,30000
889,2040,Middle East-North Africa,Palestinian territories,140000,8270000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,8410000
890,2040,Latin America-Caribbean,Panama,4410000,40000,260000,         <10000,10000,20000,20000,20000,4790000
891,2040,Asia-Pacific,Papua New Guinea,11800000,         <10000,         <10000,         <10000,         <10000,50000,30000,         <10000,11890000
892,2040,Latin America-Caribbean,Paraguay,9340000,         <10000,110000,         <10000,         <10000,170000,20000,         <10000,9650000
893,2040,Latin America-Caribbean,Peru,36550000,         <10000,1250000,         <10000,60000,380000,120000,         <10000,38370000
894,2040,Asia-Pacific,Philippines,131940000,8540000,130000,         <10000,130000,2330000,220000,         <10000,143300000
895,2040,Europe,Poland,31180000,60000,3830000,         <10000,10000,         <10000,         <10000,10000,35110000
896,2040,Europe,Portugal,8200000,90000,980000,         <10000,20000,50000,         <10000,         <10000,9350000
897,2040,Latin America-Caribbean,Puerto Rico,3500000,         <10000,90000,         <10000,10000,30000,         <10000,         <10000,3650000
898,2040,Middle East-North Africa,Qatar,430000,2130000,20000,570000,140000,20000,10000,         <10000,3320000
899,2040,Sub-Saharan Africa,Reunion,920000,40000,20000,50000,         <10000,         <10000,10000,         <10000,1060000
900,2040,Europe,Romania,17710000,70000,20000,         <10000,         <10000,         <10000,         <10000,         <10000,17810000
901,2040,Europe,Russia,92690000,19280000,16200000,110000,170000,280000,10000,140000,128870000
902,2040,Sub-Saharan Africa,Rwanda,20420000,630000,690000,10000,         <10000,110000,40000,         <10000,21910000
903,2040,Sub-Saharan Africa,St. Helena,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000
904,2040,Latin America-Caribbean,St. Kitts and Nevis,60000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,70000
905,2040,Latin America-Caribbean,St. Lucia,200000,         <10000,10000,         <10000,         <10000,         <10000,         <10000,         <10000,210000
906,2040,North America,St. Pierre and Miquelon,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000
907,2040,Latin America-Caribbean,St. Vincent and the Grenadines,120000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,130000
908,2040,Asia-Pacific,Samoa,310000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,320000
909,2040,Europe,San Marino,30000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,30000
910,2040,Sub-Saharan Africa,Sao Tome and Principe,230000,         <10000,40000,         <10000,         <10000,         <10000,         <10000,         <10000,290000
911,2040,Middle East-North Africa,Saudi Arabia,1760000,39560000,230000,650000,170000,110000,80000,         <10000,42560000
912,2040,Sub-Saharan Africa,Senegal,670000,23460000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,24130000
913,2040,Europe,Serbia,6010000,470000,230000,         <10000,         <10000,         <10000,         <10000,         <10000,6710000
914,2040,Sub-Saharan Africa,Seychelles,90000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,100000
915,2040,Sub-Saharan Africa,Sierra Leone,1880000,7840000,10000,         <10000,         <10000,80000,         <10000,         <10000,9820000
916,2040,Asia-Pacific,Singapore,1270000,1430000,1200000,650000,2120000,190000,480000,10000,7360000
917,2040,Europe,Slovakia,4360000,30000,980000,         <10000,10000,10000,         <10000,         <10000,5400000
918,2040,Europe,Slovenia,1390000,80000,360000,         <10000,         <10000,         <10000,         <10000,         <10000,1840000
919,2040,Asia-Pacific,Solomon Is.,980000,         <10000,         <10000,         <10000,         <10000,10000,         <10000,         <10000,1000000
920,2040,Sub-Saharan Africa,Somalia,10000,20500000,         <10000,10000,         <10000,20000,         <10000,         <10000,20550000
921,2040,Sub-Saharan Africa,South Africa,47290000,1380000,9110000,480000,90000,370000,190000,40000,58950000
922,2040,Asia-Pacific,Korea,16090000,280000,23080000,40000,9620000,440000,110000,         <10000,49660000
923,2040,Europe,Spain,34950000,3050000,12950000,90000,50000,110000,30000,60000,51300000
924,2040,Asia-Pacific,Sri Lanka,1690000,2830000,         <10000,3370000,16320000,         <10000,         <10000,         <10000,24220000
925,2040,Middle East-North Africa,Sudan,3320000,56080000,650000,         <10000,         <10000,1750000,         <10000,         <10000,61800000
926,2040,Latin America-Caribbean,Suriname,350000,80000,50000,110000,         <10000,40000,10000,         <10000,660000
927,2040,Sub-Saharan Africa,Swaziland,1380000,         <10000,140000,         <10000,         <10000,20000,         <10000,         <10000,1550000
928,2040,Europe,Sweden,5880000,1090000,3390000,50000,110000,30000,30000,20000,10600000
