skill,group,synonym,skill source,
cosmosdb,databases,,,
critical think,soft skills,,,
crm,se,,,
cross-sectional analysis,data analysis,,coursera skill,
cryptography,security,,,
cs,education,computer sciences,,
css,se,,"dou, coursera skill",
culture,soft skills,,coursera skill,
curiosity,soft skills,,,
curious,soft skills,curiosity,,
curl,se,,,
customer analytics,data analysis,,coursera skill,
customer lifetime value,data analysis,,coursera skill,
customer services,management,customer successful,,
customer successful,soft skills,,,
cv,data science,computer vision,,
cypress,se,,,
cython,se,,,
d3,se,,"dou, coursera skill",
dashboards analytics,data analysis,,,
dask,se,,,
data acquisition,data science,,coursera skill,
data analysis,data analysis,analyze data,"dou, coursera skill",
data analyst,data analysis,analyze data,,
data analytics,data analysis,analyze data,,
data architectural,se,architecting,,
data centers,databases,,coursera skill,
data cloud,se,cloud,,
data cluster,databases,cloud,coursera skill,
data driven,se,,,
data ecosystem,se,,,
data encryption,security,,,
data engineering,se,,,
data exploration,data science,,,
data extraction,data science,,,
data formatting,data science,,,
data infrastructure,se,,,
data integration,se,,"dou, coursera skill",
data lakes,se,data lake,"dou, coursera skill",
data layers,se,,,
data management,data science,,coursera skill,
data manipulation,data science,data preprocessing,"dou, coursera skill",
data masking,data science,,,
data migrations,se,,,
data mining,data science,data science,coursera skill,
data model,data science,data modeling,"dou, coursera skill",
data pipeline,se,,,
data prepared,data science,data preprocessing,,
data preprocessing,data science,,,
data processes,data science,data preprocessing,,
data quality,qa,,coursera skill,
data reporting,management,,coursera skill,
data science,data science,,"dou, coursera skill",
data scientist,data science,data science,,
data scraping,data science,,,
data security,security,,"dou, coursera skill",
data storage,se,,,
data validation,data science,,coursera skill,
data visualization,data science,visualize,"dou, coursera skill",
data warehouse,big data,data warehousing,"dou, coursera skill",
data-informed decision-making,soft skills,,coursera skill,
database,databases,databases,"dou, coursera skill",
databricks,cloud,,,
datacenter,big data,,,
datacenter clustering,big data,,,
dataflow,devops,,coursera skill,
dataops,devops,,,
datasets,data science,,,
datastax,se,,,
db,se,,,
dba,,,sth with business administation? database administration,
dbms,databases,,,
dbscan,data science,,coursera skill,
deadline driven,soft skills,,,
debugging,se,debugging skilled,"dou, coursera skill",
decision forests,data science,,,
decision making,soft skills,,"dou, coursera skill",
decision tree,data science,,coursera skill,
deep learning,deep learning,deep learn,"dou, coursera skill",
demand forecasting,domain,,coursera skill,
deploying,se,,,
desire learn,soft skills,,,
desire work,soft skills,,,
devops,devops,,,
differential geometry,math,,,
dimensionality reduction,data science,,coursera skill,
directly communications,soft skills,,,
distributed applications,se,,,
distributed computing,se,,coursera skill,
distributed statistics,data science,,,
distributed systems,se,,,
django,se,,,
dl,se,,,
dl framework,se,dl,,
dl libraries,se,dl,,
dm,,data management,,
dm methodology,,data management,,
dna,domain,,coursera skill,
dnn framework,se,dnn,,
docker,se,,,
domain knowledge,domain,,,
dr scalability,,dr,,
dry,se,,,
dvc,,,,
dwh,se,,,
dynamic programming,se,,"dou, coursera skill",
dynamodb,se,,,
e-commerce,domain,,coursera skill,
ebs,cloud,aws,,
ec2,cloud,aws,,
ecology,domain,,coursera skill,
econometrics,math,,coursera skill,
economics,math,,"dou, coursera skill",
economics statistics,math,statistics,,
economy,domain,,coursera skill,
ecr,cloud,aws,,
eda,data science,analyze data,,
edi format,se,,,
efficient code,se,,,
efficient scalability,se,,,
eks,cloud,aws,,
eks kubernetes,cloud,aws,,
elastic,cloud,aws,,
elasticsearch,cloud,aws,,
elb,cloud,aws,,
electronic health record,domain,electronic health records,coursera skill,
embeddings,data science,,,
emr,cloud,aws,,
encryption,security,,,
eng,english,english,,
engine background,se,,,
engine databases,se,,,
engine proficiency,se,,,
engine skilled,se,,,
engine tool,se,,,
engine upper,se,,,
engine work,se,,,
english,english,,,
english communications,english,,,
english excellent,english,,,
english financial,english,,,
english fluent,english,fluent english,,
english intermediate,english,,,
english language,english,,coursera skill,
english native,english,fluent english,,
english oral,english,english speaking,,
english speaking,english,,,
english strong,english,,,
english upper,english,,,
english verbal,english,english speaking,,
english written,english,,,
ensemble learning,data science,,coursera skill,
enthusiasm,soft skills,,,
entity relationship model,databases,,coursera skill,
entropy,data science,,coursera skill,
environmental data analysis,domain,analyze data,coursera skill,
epidemiology,domain,,coursera skill,
erwin visio,,erwin,,
es6,se,,,
ethics,soft skills,,coursera skill,
etl,se,,,
excel,data analytics,,,
exploratory data analysis,data analytics,analyze data,coursera skill,
face recognition,cv,,coursera skill,
feature engineering,data science,feature engineering,coursera skill,
feature extraction,data science,feature engineering,coursera skill,
feature scaling,data science,feature engineering,coursera skill,
feature selection,data science,feature engineering,coursera skill,
feedforward neural network,deep learning,,coursera skill,
finance,domain,,coursera skill,
financial accounting,domain,,coursera skill,
financial analysis,domain,,coursera skill,
financial data analysis,domain,analyze data,coursera skill,
financial markets,domain,,coursera skill,
financial modeling,domain,,coursera skill,
financial risk,domain,,coursera skill,
financial risk management,domain,,coursera skill,
flask,se,,"dou, coursera skill",
fluency english,english,fluent english,,
fluent english,english,,,
fmri,domain,,coursera skill,
forecasting,data science,,coursera skill,
fraud detection,data science,,coursera skill,
frontend,se,,,
functional programming,se,,coursera skill,
fuzzy logic,math,,coursera skill,
game theory,math,,coursera skill,
gan,deep learning,,,
gaussian process,math,,coursera skill,
gcp,se,google cloud,,
gcs,se,google cloud,,
gemfire,se,ibm,,
generative models,deep learning,generative model,"dou, coursera skill",
genetics,domain,,coursera skill,
genomics,domain,,coursera skill,
geographic information system,domain,,coursera skill,
geology,domain,,coursera skill,
geometry,math,geometry,,
geometry analysis,math,geometry,,
geophysical data,domain,,coursera skill,
geospatial analysis,domain,,coursera skill,
geospatial data,domain,,,
geovisualization,domain,,coursera skill,
ggplot,data science,ggplot2,"dou, coursera skill",
gis,big data,gis software,"dou, coursera skill",
git,se,vcs,,
github,se,vcs,,
glue,cloud,aws,,
go,se,,,
goal oriented,soft skills,,,
good analytics,data analytics,analyze data,,
